Period,Month,Detail,Total Pay,First Pay,Second Pay,Status First Pay,Status Second Pay
202301,Jan,TC Banco de Bogota,1000,500,500,ok,ok
202301,Jan,Alquiler,400,400,,ok,
202301,Jan,Comida,400,200,200,ok,ok
202301,Jan,Ropa,120,60,60,ok,ok
202301,Jan,Club del 1%,100,,100,,ok
202301,Jan,Higiene personal,100,50,50,ok,ok
202301,Jan,Libros,100,50,50,ok,ok
202301,Jan,Combustible,80,40,40,ok,ok
202301,Jan,Datos,50,,50,,ok
202301,Jan,Peluquería o belleza,30,15,15,ok,ok
202301,Jan,Music,9,,9,,ok
202301,Jan,iCloud,3,,3,,ok
202301,Jan,Credito Fondecom (fondegarantias),1000,500,500,,ok
202301,Jan,Madre,1000,500,500,ok,ok
202301,Jan,TC AVillas,500,250,250,ok,ok
202301,Jan,Hipoteca,350,,350,,ok
202301,Jan,Regalos,300,150,150,ok,
202301,Jan,Traspaso,300,300,,ok,
202301,Jan,Credito Bancolombia,250,,250,,
202301,Jan,MI PAGO (Tyba),200,100,100,,ok
202301,Jan,Fondo de solidaridad pensional,65,,65,,ok
202302,Feb,TC Banco de Bogota,1000,500,500,ok,ok
202302,Feb,Alquiler,400,400,,ok,
202302,Feb,Comida,400,200,200,ok,ok
202302,Feb,Ropa,60,60,,ok,
202302,Feb,Club del 1%,100,,100,,ok
202302,Feb,Libros,100,50,50,ok,ok
202302,Feb,Combustible,80,40,40,ok,ok
202302,Feb,Aceite,60,30,30,ok,ok
202302,Feb,Datos,50,,50,,ok
202302,Feb,Peluquería o belleza,30,15,15,ok,ok
202302,Feb,Music,9,,9,,ok
202302,Feb,iCloud,3,,3,,ok
202302,Feb,Paseo,70,,70,,ok
202302,Feb,Credito Fondecom (fondegarantias),1000,500,500,Ok,OK
202302,Feb,Ingles,445,445,,ok,
202302,Feb,Moto,180,,180,,ok
202302,Feb,Regalos,600,300,300,,ok
202302,Feb,TC AVillas,500,250,250,ok,ok
202302,Feb,Hipoteca,350,,350,,ok
202302,Feb,Credito Bancolombia,250,,250,,ok
202302,Feb,MI PAGO (Tyba),200,100,100,Ok,ok
202303,Mar,TC Banco de Bogota,1000,500,500,Ok,Ok
202303,Mar,Alquiler,470,470,,ok,
202303,Mar,Comida,400,200,200,ok,Ok
202303,Mar,Ropa,120,60,60,ok,Ok
202303,Mar,Club del 1%,100,,100,,Ok
202303,Mar,Combustible,80,40,40,ok,Ok
202303,Mar,Higiene personal,80,40,40,ok,Ok
202303,Mar,Datos,50,,50,,Ok
202303,Mar,Peluquería o belleza,30,15,15,ok,Ok
202303,Mar,Music,9,,9,,Ok
202303,Mar,iCloud,3,,3,,Ok
202303,Mar,Madre,400,,400,,Ok
202303,Mar,Servicios Jamundi,313,200,113,,Ok
202303,Mar,Ingles,445,445,,ok,
202303,Mar,Credito Fondecom (fondegarantias),1000,500,500,ok,Ok
202303,Mar,TC AVillas,500,250,250,ok,Ok
202303,Mar,Hipoteca,350,,350,,Ok
202303,Mar,Regalos,300,150,150,ok,
202303,Mar,Credito Bancolombia,250,,250,,Ok
202303,Mar,MI PAGO (Tyba),200,100,100,ok,Ok
202304,Apr,TC Banco de Bogota,1000,500,500,ok,ok
202304,Apr,Ingles,445,445,,ok,
202304,Apr,Comida,400,200,200,ok,ok
202304,Apr,Ropa,120,60,60,ok,ok
202304,Apr,Club del 1%,100,,100,,ok
202304,Apr,Libros,100,50,50,ok,ok
202304,Apr,Combustible,80,40,40,ok,ok
202304,Apr,Aceite,60,30,30,ok,ok
202304,Apr,Datos,50,,50,,ok
202304,Apr,Peluquería o belleza,30,15,15,ok,ok
202304,Apr,Music,9,,9,,ok
202304,Apr,iCloud,3,,3,,ok
202304,Apr,TC AVillas,500,250,250,ok,ok
202304,Apr,Madre,400,,400,,
202304,Apr,Examenes para licensia,346,200,146,ok,
202304,Apr,Alquiler,400,400,,ok,
202304,Apr,Credito Fondecom (fondegarantias),1005,500,505,Ok,ok
202304,Apr,Hipoteca,350,,350,,ok
202304,Apr,Credito Bancolombia,250,,250,,ok
202304,Apr,MI PAGO (Tyba),200,100,100,Ok,ok
202304,Apr,Impuestos a la propiedad,101,,101,,ok
202305,May,TC Banco de Bogota,1480,600,880,ok,ok
202305,,,0,,,,
202305,May,Alquiler,466,466,,ok,
202305,May,Comida,400,200,200,Ok,ok
202305,May,Club del 1%,100,,100,,ok
202305,May,Higiene personal,100,50,50,ok,
202305,May,Datos,50,,50,,ok
202305,May,Peluquería o belleza,30,15,15,ok,
202305,May,Music,9,,9,ok,ok
202305,May,iCloud,9,,9,ok,ok
202305,May,Donia Luz,90,90,,ok,
202305,May,gizeth torta de alex,50,,50,,ok
202305,May,Rifa Danna,40,20,20,ok,ok
202305,May,Tienda,100,50,50,ok,ok
202305,May,TC AVillas,500,250,250,ok,ok
202305,May,Madre,800,400,400,ok,ok
202305,May,Credito Fondecom (fondegarantias),1010,500,510,ok,ok
202305,May,Hipoteca,334,,334,,ok
202305,May,Credito Bancolombia,250,,250,,
202305,May,MI PAGO (Tyba),200,100,100,ok,Ok
202306,Jun,TC Banco de Bogota,1500,500,1000,ok,Ok
202306,Jun,Ropa,500,250,250,ok,ok
202306,Jun,Alquiler,444,444,,ok,
202306,Jun,Comida,400,200,200,,
202306,Jun,Club del 1%,100,,100,,ok
202306,Jun,TC AVillas,250,,250,,ok
202306,Jun,Peluquería o belleza,30,15,15,ok,
202306,Jun,Music,9,,9,,ok
202306,Jun,iCloud,12,,12,,Ok
202306,Jun,Silla,450,450,,ok,
202306,Jun,Batería iPhone,110,110,,,
202306,Jun,Webcam,220,220,,Ok,
202306,Jun,Bicicleta,2700,1000,1700,ok,Ok
202306,Jun,Agustín,50,50,,ok,
202306,Jun,Fredy,50,50,,ok,
202306,Jun,Jaír,50,50,,Ok,
202306,Jun,Marina,50,50,,ok,
202306,Jun,Madre,50,50,,ok,
202306,Jun,Concierto,150,150,,ok,
202306,Jun,Hospedaje,150,150,,,
202306,Jun,TC AVillas,355,355,,Ok,
202306,Jun,Aire acondicionado,300,,300,,ok
202306,Jun,Gafas madre,320,,320,,ok
202306,Jun,Tubo aire acondicionado,100,,100,,ok
202306,Jun,Rifa Torre terranova,100,100,,ok,
202306,Jun,Rifa Danna,10,10,,ok,
202306,Jun,Hipoteca,500,,500,,ok
202306,Jun,Madre,800,300,500,ok,Ok
202306,Jun,Credito Fondecom (fondegarantias),1000,500,500,Ok,ok
202306,Jun,Credito Bancolombia,250,,250,,ok
202306,Jun,MI PAGO (Tyba),200,100,100,Ok,ok
202307,Jul,Alquiler,408,408,,ok,
202307,Jul,TC Banco de Bogota,1500,1000,500,ok,OK
202307,Jul,TC AVillas,600,300,300,Ok,OK
202307,Jul,Comida,200,,200,,
202307,Jul,Club del 1%,100,,100,,ok
202307,Jul,Seguro bici,50,,50,,
202307,Jul,Datos,50,,50,,ok
202307,Jul,Peluquería o belleza,30,15,15,ok,
202307,Jul,Music,9,,9,,ok
202307,Jul,iCloud,12,,12,,ok
202307,Jul,Credito Bancolombia,250,,250,,
202307,Jul,Credito Fondecom (fondegarantias),1000,500,500,Ok,OK
